Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
땀땀,베트남음식,7109,7024,서울 강남구 강남대로98길 12-5,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요"""
베트남이랑,베트남음식,2264,1782,서울 서초구 서초대로77길 15 대경빌딩 지하 1층,4.44,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""가성비가 좋아요""; ""양이 많아요""; ""매장이 넓어요"""
안안 강남직영점,베트남음식,268,546,서울 강남구 강남대로92길 31 1층,N/A,
파파야리프 강남점,아시아음식,1790,1949,서울 강남구 강남대로102길 29,4.51,
미엔아이 천등,아시아음식,2017,1249,서울 강남구 봉은사로4길 32 1층,4.71,
강남쌀국수 신논현점,베트남음식,490,60,서울 서초구 사평대로55길 10-11 1층,N/A,
리틀호이안,베트남음식,57,38,서울 강남구 도곡로3길 27 2층,N/A,
쁘라텟타이,태국음식,316,259,서울 강남구 테헤란로21길 13,4.59,
타이홀릭,태국음식,47,12,서울 강남구 강남대로94길 86 지하 1층,N/A,"""음식이 맛있어요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""현지 맛에 가까워요""; ""재료가 신선해요"""
타이가,아시아음식,193,150,서울 서초구 주흥길 13 1층 타이가,4.6,
하노이스토리,베트남음식,795,230,서울 강남구 논현로85길 25,4.48,
반포식스 논현점,베트남음식,503,163,서울 강남구 강남대로118길 51 2층,4.33,
분짜라붐 역삼점,베트남음식,661,285,서울 강남구 테헤란로25길 13 1-2층,4.22,
생어거스틴 역삼점,아시아음식,1001,197,서울 강남구 테헤란로 152 강남파이낸스센터,4.37,
아그라 GFC점,인도음식,456,109,서울 강남구 테헤란로 152 지하1층,N/A,
포란,아시아음식,252,33,서울 강남구 논현로 429 C & C 빌딩 2층 201호,N/A,
반피차이,태국음식,1071,972,서울 강남구 강남대로124길 23 1층,4.6,
강가 역삼점,인도음식,359,117,서울 강남구 논현로 508 GS타워 지하1층,4.31,"""음식이 맛있어요""; ""친절해요""; ""인테리어가 멋져요""; ""매장이 청결해요""; ""재료가 신선해요"""
홍대쌀국수 논현점,베트남음식,55,4,서울 강남구 논현로 613 지하1층,N/A,
피넘타이,태국음식,5212,86,서울 서초구 남부순환로347길 53 1F,N/A,
포메인 교대점,베트남음식,670,86,서울 서초구 서초중앙로24길 27 G-five CENTRAL PLAZA,4.22,
헬로포,베트남음식,445,39,서울 강남구 강남대로128길 20 영동프라자 1층 103호,4.29,
반미362 강남점,베트남음식,456,85,서울 강남구 논현로86길 25,4.44,
하이콴,베트남음식,1108,561,서울 서초구 신반포로 340 1층,N/A,
