Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
7번방 강남점,요리주점,2122,4067,서울 서초구 서초대로77길 43 경원빌딩,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""술이 다양해요""; ""대화하기 좋아요""; ""기본 안주가 좋아요"""
강남77,"맥주,호프",2065,4273,서울 서초구 서초대로77길 31,4.36,
엠투포차 강남역점,요리주점,1616,1644,서울 강남구 테헤란로1길 28-5 지상1층,4.88,
응야끼도리 강남점,요리주점,808,4333,서울 서초구 서초대로77길 43 경원빌딩,N/A,
수지상회 강남1호점,요리주점,1686,2381,서울 강남구 테헤란로1길 17 2층,N/A,
서울주막 강남역본점,요리주점,1442,969,서울 서초구 서초대로73길 42 지하1층,4.56,
파티플레이 뮤직타운 강남역점,요리주점,254,4964,서울 서초구 서초대로77길 37 지하1층,N/A,
소보키 강남점,요리주점,3576,2150,서울 강남구 봉은사로18길 80 1층,N/A,
토라 강남점,이자카야,368,1718,서울 서초구 서초대로77길 37 202호,N/A,
이자카야 열,이자카야,237,2180,서울 서초구 강남대로 345 2층,4.35,
어로선목로집 강남점,"맥주,호프",901,1232,"서울 서초구 강남대로53길 7 2층 201호, 202호",N/A,
왕스펍,"맥주,호프",834,768,서울 강남구 강남대로98길 11 메트로빌딩 1층,4.39,
사람사는이야기 강남점,요리주점,727,386,서울 서초구 강남대로65길 12 1층 102호~109호,N/A,
닭동가리 강남역점,요리주점,207,80,서울 서초구 서초대로77길 37 1층 103호,N/A,
랜돌프비어 강남점,"맥주,호프",914,1423,서울 서초구 강남대로65길 9 지하,N/A,
아리계곡,요리주점,135,513,"서울 강남구 테헤란로1길 28-14 지상1층 101,102호",N/A,
강남친구네 강남역점,요리주점,412,698,서울 강남구 테헤란로1길 28-4 3층,N/A,
뉴트로2010 강남점,"맥주,호프",232,833,서울 서초구 서초대로77길 41 2층 뉴트로 2010,N/A,
워너비대구,술집,997,951,서울 강남구 테헤란로1길 28-5 2층,N/A,
오리엔탈라운지 강남,요리주점,1303,620,서울 서초구 강남대로65길 7 지층,N/A,
오늘와인한잔 강남역1번출구점,와인,936,224,서울 강남구 테헤란로4길 6 센트럴푸루지오시티 2층 217호 오늘와인한잔,4.71,
비노비스,와인,798,443,서울 강남구 봉은사로1길 32 3층 비노비스,4.86,
개판포차,포장마차,311,167,서울 서초구 서초대로77길 29 수호빌딩 1층,N/A,
압구정수산시장 강남역점,이자카야,219,256,서울 강남구 강남대로98길 20 지상1층,N/A,
이자카야 오레노유메 강남역점,이자카야,635,155,"서울 강남구 역삼로3길 17-4 2, 3층",N/A,
밤별 포차 라운지 강남역본점,요리주점,223,1920,"서울 강남구 강남대로102길 13-8 지층, 1층, 2층, 3층",N/A,
갓포 이케맨이자카야,이자카야,687,319,서울 서초구 서초대로78길 50 3층,4.59,
편한술집,요리주점,130,1322,"서울 서초구 서초대로77길 39 1, 2층",N/A,
단골손님 강남1호점,요리주점,1313,186,서울 강남구 테헤란로1길 40 2층,N/A,
이자카야 신조,이자카야,422,213,서울 강남구 강남대로84길 33 대우 디오빌플러스 B101호,4.35,
나즈드라비,"맥주,호프",801,471,서울 강남구 강남대로 442 흥국생명빌딩,4.66,
주인장,요리주점,348,318,서울 서초구 서초대로75길 36 1층 주인장,N/A,
디엠룸술집 강남점,요리주점,126,625,서울 서초구 서초대로77길 58,N/A,
도모다찌,이자카야,120,40,서울 강남구 테헤란로1길 28 지하1층 도모다찌,N/A,
랭맥,"맥주,호프",592,501,서울 강남구 강남대로78길 8 2층,4.34,
호랭이행님,요리주점,136,220,서울 강남구 테헤란로1길 42 B1층 1호,N/A,
29펍 3호점 MACAU Modern,요리주점,360,464,서울 서초구 강남대로 445 우신빌딩,4.36,
심 이자카야 강남역점,이자카야,133,845,서울 서초구 서초대로77길 9 강남누드죤빌딩 지하1층,N/A,
29펍 2호점 UK Classic,요리주점,576,590,서울 강남구 테헤란로1길 26,4.41,
야키토리 나루토 강남,이자카야,439,453,서울 강남구 봉은사로6길 38 1층,N/A,
악바리,요리주점,531,733,서울 서초구 서초대로77길 41 대동빌딩 1층,4.13,
시부야 네코,이자카야,74,1488,서울 서초구 서초대로77길 41 1층,N/A,
미엔아이 천등,아시아음식,2017,1249,서울 강남구 봉은사로4길 32 1층,4.71,
29펍 5호점 GERMANY Orthodox,요리주점,299,212,서울 서초구 강남대로65길 10,4.46,
포차주식시장,"맥주,호프",224,142,"서울 서초구 서초대로77길 41 지하1, 2층 1호",N/A,
서초정,요리주점,85,103,서울 서초구 강남대로53길 12 B101호,N/A,
켄홈 1호점,이자카야,97,250,서울 강남구 역삼로 109 SK허브젠 1층 104호 켄홈1991,4.75,
도시맥주 강남역점,"맥주,호프",125,136,서울 강남구 봉은사로18길 90 1층 도시맥주 강남역점,N/A,
너무한육회연어,요리주점,1078,674,서울 강남구 테헤란로1길 19 B2,4.57,
이케맨 강남역2호점,요리주점,174,122,서울 강남구 강남대로98길 12 2층,N/A,
오뎅오색 강남역점,이자카야,45,102,"서울 서초구 서초대로73길 42 1층 105, 106호",N/A,
강탄 강남역점,요리주점,87,198,서울 강남구 테헤란로1길 28-4 JWHouse 2층 강탄 강남역점,N/A,
친구포차,요리주점,85,298,서울 강남구 역삼로3길 22 지하1층 친구포차,4.15,
아이리쉬펍 더블린,"맥주,호프",858,441,서울 강남구 강남대로 442 별관 2층,4.04,
아이러브펍,"맥주,호프",830,475,서울 강남구 테헤란로4길 45 1층 아이러브펍,4.46,
456포차,포장마차,175,89,서울 강남구 테헤란로6길 37,N/A,
나즈드라비,"맥주,호프",482,329,서울 강남구 테헤란로1길 28-6 제이빌딩 지하 1층,4.31,
동방제일수산 강남역점,이자카야,111,885,"서울 서초구 서초대로73길 42 제101호, 102호, 103호",N/A,
엘빈에비뉴 라운지바,요리주점,659,433,"서울 강남구 강남대로92길 13 지하1층, 2층",N/A,
강남노크 본점,요리주점,316,661,서울 서초구 서초대로77길 29 2층 노크,N/A,
낙타브루잉 강남본점,"맥주,호프",375,507,서울 강남구 강남대로106길 14 지하1층,4.21,
엘라,"맥주,호프",398,505,서울 강남구 테헤란로5길 36 1층 엘라,4.44,
타키 강남역점,이자카야,111,195,"서울 강남구 봉은사로4길 33 지하1층, 지상 1층",N/A,
큐브뮤직타운,요리주점,486,445,"서울 서초구 서초대로77길 58 3,4,5층",N/A,
이찌타코,이자카야,52,73,"서울 서초구 강남대로 437 1, 2, 3, 4층",N/A,
싼술의 전당,포장마차,248,196,서울 강남구 강남대로96길 13 지하1층,4.55,
켄홈 강남2호점,이자카야,101,140,서울 강남구 역삼로1길 18 1층 켄홈,N/A,
강남비치,"맥주,호프",115,180,서울 강남구 강남대로96길 20 혜진빌딩 2층,N/A,
금복주류 강남역점,요리주점,4739,2682,서울 서초구 강남대로65길 9 1층 금복주류,4.73,
언더그라운드,"맥주,호프",262,256,서울 서초구 강남대로53길 11 지하 1층,4.44,
강남일미포차,포장마차,275,124,서울 강남구 강남대로96길 15 1층,4.35,
월매네주막,요리주점,274,115,서울 서초구 강남대로 437 지하1층,4.28,
청담이상 강남역점,이자카야,778,2773,"서울 강남구 테헤란로1길 42 2층, 3층",N/A,
이자카야 공감 강남역점,이자카야,326,723,서울 서초구 강남대로65길 7 피렌체빌딩2층,N/A,
야다이,이자카야,332,125,서울 강남구 테헤란로1길 28-1,4.31,
이자카야 규네,이자카야,117,114,서울 강남구 역삼로5길 21 1층,4.95,
홍대주막,요리주점,209,123,서울 강남구 강남대로98길 12-5 3층,4.41,"""음식이 맛있어요""; ""친절해요""; ""가성비가 좋아요""; ""대화하기 좋아요""; ""기본 안주가 좋아요"""
더블린브루어리 강남점,"맥주,호프",260,84,서울 서초구 서초대로78길 26 2층,N/A,
미믹 강남점,"맥주,호프",168,127,서울 강남구 강남대로98길 12 지상4층,N/A,
스시산원 반주헌,요리주점,296,358,서울 강남구 테헤란로4길 6 센트럴푸르지오시티 지하2층 224호,N/A,
이자카야나무 서초점,이자카야,3314,700,서울 서초구 서초대로75길 23 지하1층~지상4층,4.43,
강남지하상회,술집,22,55,서울 강남구 테헤란로1길 28-5 지하2층 강남지하상회,N/A,
부엉이산장 강남점,요리주점,1626,1210,서울 강남구 테헤란로1길 28-11 1층,N/A,
꼭그닭 강남점,"맥주,호프",1689,2014,서울 강남구 봉은사로4길 37 지하 1층,4.45,
씨엠뮤직타운 본점,요리주점,37,640,서울 서초구 서초대로77길 58 2층,N/A,
88노가리 강남점,"맥주,호프",344,53,서울 강남구 강남대로96길 18 2층,N/A,
연어꼬꼬,요리주점,177,119,서울 강남구 강남대로84길 15 효성해링턴타워 1층 연어꼬꼬,N/A,
이자카야 공감 강남역점,이자카야,326,723,서울 서초구 강남대로65길 7 피렌체빌딩2층,N/A,
칠성룸포차 강남역2호점,포장마차,20,231,서울 서초구 강남대로65길 10 4층,N/A,
아트몬스터 강남역점,"맥주,호프",1776,1963,서울 강남구 테헤란로1길 28-3,4.55,
뮤지컬펍넘버스테이지,요리주점,252,261,서울 강남구 강남대로96길 15 지하1층,N/A,
느린마을양조장 강남점,요리주점,2011,904,서울 서초구 서초대로73길 7 우송빌딩 지하 1층,4.33,
광장818,"맥주,호프",121,86,서울 강남구 강남대로94길 15 . 2층,N/A,
은하수,이자카야,394,1216,"서울 강남구 봉은사로4길 17 3, 4층",4.63,
서울주막 강남역본점,요리주점,1442,969,서울 서초구 서초대로73길 42 지하1층,4.56,
대가 육회 강남논현점,요리주점,119,115,서울 강남구 강남대로112길 49 1층,N/A,
야키토리 켄홈,이자카야,141,43,서울 강남구 역삼로 109 1층 109호,N/A,
이자카야나무 강남역2호점,이자카야,1285,326,서울 강남구 강남대로78길 8 지하1층 이자카야나무 강남역2호점,N/A,
이자카야나무 4호점,이자카야,617,153,서울 서초구 서초대로78길 26,N/A,
용용선생 강남역점,요리주점,859,978,서울 강남구 강남대로96길 17,4.58,
브루113,"맥주,호프",39,101,서울 강남구 역삼로 113 1층 103호,N/A,
시선 강남점,이자카야,185,4040,서울 서초구 서초대로77길 35 2층 201호,N/A,
이자카야나무 강남역CGV점,이자카야,666,171,서울 강남구 강남대로 442 2층,N/A,
칠성룸포차 강남역점,포장마차,453,1253,서울 서초구 강남대로65길 10 3층,N/A,
철길부산집 강남역점,요리주점,134,49,서울 강남구 강남대로96길 11-4 1층 철길부산집 강남역점,N/A,
브롱스 강남점,"맥주,호프",455,410,서울 강남구 강남대로94길 15 에스투빌딩 지하1층,4.27,
부엉이산장 강남지오다노점,요리주점,1118,211,서울 서초구 강남대로65길 7 1층,N/A,
플랫나인,바(BAR),1844,994,서울 서초구 강남대로65길 10 5층,4.79,
지구상사 강남점,요리주점,559,545,서울 서초구 강남대로 439 지하1층 지구상사 강남점,N/A,
리춘시장 강남역점,요리주점,334,187,서울 강남구 테헤란로1길 30 2층,N/A,
금별맥주 삼성타운점,"맥주,호프",452,83,서울 서초구 서초대로78길 38 2층,N/A,
29펍 4호점 TOKYO Elegant,요리주점,456,325,서울 강남구 강남대로110길 14,N/A,
룸의정석 강남점,요리주점,133,238,서울 서초구 서초대로77길 37 서초동월드 6층,N/A,
수다,요리주점,395,95,"서울 서초구 강남대로65길 9 2, 3, 4층",N/A,
에독코,이자카야,115,145,서울 강남구 역삼로 129 101,4.56,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""혼술하기 좋아요""; ""술이 다양해요"""
치치 강남점,요리주점,188,515,서울 서초구 서초대로77길 29,4.7,
마케집 논현점,이자카야,378,546,서울 강남구 강남대로118길 12 1층,N/A,
일품각 역삼동점,양꼬치,554,265,서울 강남구 강남대로96길 18 B1층 일품각 역삼동점,4.36,
더블린테라스,"맥주,호프",346,156,서울 강남구 강남대로94길 27-15 태리빌딩,4.22,
밀회관 강남삼성타운점,"맥주,호프",338,44,서울 서초구 강남대로53길 8 스타크강남빌딩 1층,N/A,
카페슬로우,바(BAR),353,279,서울 서초구 서초대로77길 35 1층 카페슬로우,N/A,
역전할머니맥주 강남역점,"맥주,호프",159,32,서울 서초구 서초대로75길 34 2층,N/A,
한량블루스,요리주점,558,260,서울 서초구 서초대로75길 45 3층,4.68,
어글리,바(BAR),236,357,서울 강남구 강남대로96길 5 5F,4.35,
아브라소812,와인,455,1081,서울 강남구 봉은사로4길 29 B1호,4.64,
윤이불닭발 강남점,요리주점,931,316,서울 강남구 강남대로96길 16,N/A,
더휴일 강남점,와인,384,292,서울 강남구 역삼로3길 20-4 영광빌딩 지하 1층,N/A,
아실라 강남점,와인,2299,893,서울 강남구 강남대로98길 16 파빌리온,4.43,
오늘와인한잔 강남역1번출구점,와인,936,224,서울 강남구 테헤란로4길 6 센트럴푸루지오시티 2층 217호 오늘와인한잔,4.71,
먼데이블루스,와인,465,799,서울 서초구 강남대로53길 11 삼성쉐르빌2 1층,4.5,
천년동안도 강남,와인,278,253,서울 서초구 서초대로75길 36 지하1층 101호,N/A,
인쌩맥주 강남역2호점,"맥주,호프",194,33,서울 강남구 테헤란로1길 28-5 지하1층,N/A,
비랩,바(BAR),132,145,서울 강남구 강남대로98길 10 2층 비랩,N/A,
사이드바 인 시네마,바(BAR),163,66,서울 강남구 강남대로102길 22 F층,N/A,
와인코르크 강남점,와인,474,444,서울 강남구 테헤란로1길 40 3층 와인코르크,4.54,
아이해브어드림 강남역 본점,요리주점,3014,1387,서울 강남구 테헤란로5길 7 KG Tower 지하1층 아이해브어드림,N/A,
잭슨 하이볼,바(BAR),481,119,서울 강남구 강남대로106길 14 오성빌딩 2층,4.31,
비어테라스,"맥주,호프",253,31,서울 강남구 테헤란로8길 20 1층,4.21,
29펍 1호점 ITALIA Vintage,요리주점,90,154,서울 강남구 테헤란로1길 28-1,4.5,
이썸,바(BAR),481,329,서울 강남구 봉은사로4길 32 B1 지하1층,4.52,
디귿,바(BAR),91,31,서울 강남구 테헤란로6길 45 1층,N/A,
썰스데이파티 강남점,바(BAR),361,173,서울 서초구 강남대로65길 10 K-Tower 지하1층,N/A,
그레이트후카바 강남,바(BAR),80,108,서울 서초구 서초대로77길 37 서초동월드 401호,4.6,
나는솔로포차 강남점,요리주점,23,8,서울 서초구 서초대로77길 29 지하1층,N/A,
선오뎅,"오뎅,꼬치",157,85,서울 강남구 강남대로94길 27,4.14,"""음식이 맛있어요""; ""대화하기 좋아요""; ""혼술하기 좋아요""; ""친절해요""; ""기본 안주가 좋아요"""
아르떼 서울,유흥주점,N/A,23,서울 서초구 강남대로 415 지하1층,N/A,
이태원천상 강남역점,이자카야,145,56,서울 서초구 서초대로74길 23 서초타운트라팰리스 지하1층,4.21,
생활맥주 강남역점,"맥주,호프",627,121,서울 강남구 강남대로78길 18 1층,4.45,
브롱스 강남역삼점,"맥주,호프",279,76,서울 강남구 테헤란로4길 34 지하1층 101호,4.31,
센야 본점,이자카야,207,226,서울 강남구 역삼로9길 25 1층,4.54,
강남 시소,이자카야,165,68,서울 강남구 역삼로3길 14 B1층,4.36,
준코 강남1호점,요리주점,174,23,서울 서초구 서초대로73길 50 대원빌딩 지하1층,4.44,
생마차 강남역점,이자카야,38,25,서울 서초구 서초대로77길 37 201호 생마차 강남역점,N/A,
시선 강남2호점,이자카야,30,9,서울 강남구 테헤란로1길 25 지상1층,N/A,
김봉남포장마차 강남직영1호점,포장마차,114,74,서울 서초구 서초대로75길 35 2층,4.63,
토토가요,유흥주점,1,82,서울 서초구 서초대로77길 45,N/A,
역전할머니맥주 강남역CGV점,"맥주,호프",682,77,서울 강남구 테헤란로1길 28-6 1층 역전할머니맥주 강남역CGV점,4.25,
쟌비어,"맥주,호프",124,19,서울 강남구 강남대로98길 10 지하1층,4.89,
링코노래타운 강남점,요리주점,458,20,서울 강남구 테헤란로2길 37 지하1층,4.21,
우드스탁,바(BAR),36,18,서울 서초구 서초대로75길 35 3층,4.5,
프리버드,바(BAR),107,37,서울 강남구 테헤란로8길 46,4.44,
아크펍 & 와인면세점,"맥주,호프",132,93,서울 서초구 서초대로74길 29 서초파라곤 104호,3.94,
파이널나인 서울강남점,"맥주,호프",80,8,서울 서초구 서초대로75길 37 4층 파이널나인 강남점,4.8,
준코 역삼점,요리주점,216,12,서울 강남구 강남대로78길 12 예미프레스티지 지하1층,4.14,
로프트,바(BAR),37,13,서울 서초구 서초대로74길 29 203호,N/A,
더위스키바이로이,바(BAR),11,90,서울 강남구 테헤란로4길 46 쌍용플래티넘 104동 112호,N/A,
그 오뎅집,"오뎅,꼬치",18,7,서울 강남구 테헤란로6길 46 1층 101호,N/A,
WHISKY BAY,바(BAR),3,1,서울 서초구 강남대로55길 9-7 아르젠강남 1층 위스키 베이,N/A,
맥주마켓펍,"맥주,호프",163,86,서울 강남구 역삼로3길 22,4.6,
서울황태,"맥주,호프",115,44,서울 강남구 역삼로3길 14 2층,4.3,
준코 강남2호점,요리주점,53,7,서울 서초구 강남대로69길 11 삼미빌딩 지하1층,3.73,
AllBarOne Dublin,바(BAR),312,32,서울 강남구 강남대로 442 흥국생명 별관 더블린 2층,4.24,
