Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
교보문고 강남점,서점,19026,3003,서울 서초구 강남대로 465 교보타워 지하 1층~지하 2층,4.52,"""책 종류가 다양해요""; ""시설이 깔끔해요""; ""베스트셀러가 많아요""; ""신간이 빨리 들어와요""; ""원하는 책을 찾기 쉬워요"""
알라딘중고서점 강남점,서점,4241,836,서울 강남구 강남대로 438 스타플렉스 지하1층,4.53,"""책 종류가 다양해요""; ""시설이 깔끔해요""; ""원하는 책을 찾기 쉬워요""; ""베스트셀러가 많아요""; ""신간이 빨리 들어와요"""
영풍문고 강남역점,서점,3298,247,서울 강남구 강남대로 408 YBM강남센터 2층,4.46,"""책 종류가 다양해요""; ""시설이 깔끔해요""; ""베스트셀러가 많아요""; ""신간이 빨리 들어와요""; ""원하는 책을 찾기 쉬워요"""
리틀소호 서초점,아동도서,6,1,서울 서초구 서운로 207 삼호종합상가 4층 411호,N/A,
교보문고 신논현역 팝업스토어,서점,130,59,서울 강남구 봉은사로 102 지하1층 교보문고 신논현역스토어,N/A,
연화서독,서점,N/A,N/A,서울 강남구 강남대로112길 13 1층,N/A,
팬톤컬러몰,서점,1,N/A,서울 강남구 강남대로 310,N/A,
알라딘 중고서점 신논현점,서점,9,6,서울 서초구 강남대로 503 청하빌딩 지하 1층,N/A,
최인아책방 GFC점,서점,150,215,서울 강남구 테헤란로 152 1층,4.65,"""시설이 깔끔해요""; ""책 종류가 다양해요""; ""책 읽기 쾌적해요""; ""독특한 책이 많아요""; ""카페 같은 분위기에요"""
최인아책방 GFC점,서점,150,215,서울 강남구 테헤란로 152 1층,4.65,"""시설이 깔끔해요""; ""책 종류가 다양해요""; ""책 읽기 쾌적해요""; ""독특한 책이 많아요""; ""카페 같은 분위기에요"""
무수책방,독립서점,21,85,서울 강남구 봉은사로29길 6 1층 101호,N/A,"""책 읽기 쾌적해요""; ""시설이 깔끔해요""; ""책 종류가 다양해요""; ""아늑해요""; ""카페 같은 분위기에요"""
21세기문고,서점,295,3,서울 강남구 남부순환로359길 31,4.4,"""원하는 책을 찾기 쉬워요""; ""책 종류가 다양해요""; ""신간이 빨리 들어와요""; ""시설이 깔끔해요""; ""베스트셀러가 많아요"""
목성서점,서점,3,N/A,서울 서초구 주흥13길 13-1 202호,N/A,

