Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
던킨 라이브 강남,도넛,8706,1296,서울 서초구 강남대로 373 홍우빌딩 1층,4.46,"""디저트가 맛있어요""; ""커피가 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""매장이 청결해요"""
알베르,카페,2994,3198,서울 강남구 강남대로102길 34,4.38,"""커피가 맛있어요""; ""인테리어가 멋져요""; ""대화하기 좋아요""; ""디저트가 맛있어요""; ""뷰가 좋아요"""
호랑가시,"카페,디저트",1645,392,서울 강남구 봉은사로6길 32 지하1층-3층,N/A,"""디저트가 맛있어요""; ""커피가 맛있어요""; ""인테리어가 멋져요""; ""음료가 맛있어요""; ""대화하기 좋아요"""
더달달,초콜릿전문점,1777,2801,서울 강남구 강남대로102길 38-6,4.5,"""디저트가 맛있어요""; ""음료가 맛있어요""; ""특별한 메뉴가 있어요""; ""커피가 맛있어요""; ""친절해요"""
까치화방 강남역점,"카페,디저트",1773,1615,서울 강남구 봉은사로4길 23 1층,N/A,"""디저트가 맛있어요""; ""인테리어가 멋져요""; ""커피가 맛있어요""; ""음료가 맛있어요""; ""친절해요"""
한과와락,"카페,디저트",2631,640,서울 강남구 봉은사로4길 31-5,N/A,"""디저트가 맛있어요""; ""인테리어가 멋져요""; ""음료가 맛있어요""; ""특별한 메뉴가 있어요""; ""커피가 맛있어요"""
에이비카페,카페,4269,1852,서울 강남구 강남대로102길 32,4.44,"""인테리어가 멋져요""; ""커피가 맛있어요""; ""디저트가 맛있어요""; ""음료가 맛있어요""; ""대화하기 좋아요"""
정월,"카페,디저트",2161,1716,서울 강남구 강남대로102길 46 1층,4.46,"""커피가 맛있어요""; ""인테리어가 멋져요""; ""음료가 맛있어요""; ""디저트가 맛있어요""; ""대화하기 좋아요"""
셀렉티드마롱,"카페,디저트",671,563,서울 강남구 테헤란로4길 37 1층 셀렉티드마롱,4.94,"""커피가 맛있어요""; ""디저트가 맛있어요""; ""인테리어가 멋져요""; ""음료가 맛있어요""; ""매장이 청결해요"""
트리오드,"카페,디저트",1842,2264,서울 강남구 강남대로94길 28 유니언타운 L층,4.56,"""디저트가 맛있어요""; ""커피가 맛있어요""; ""특별한 메뉴가 있어요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
