Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
삼성각,중식당,839,815,서울 서초구 서초대로78길 42 현대기림오피텔,4.39,"""음식이 맛있어요""; ""친절해요""; ""매장이 넓어요""; ""단체모임 하기 좋아요""; ""재료가 신선해요"""
차슈밍,중식당,868,454,서울 강남구 강남대로94길 21,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""단체모임 하기 좋아요""; ""재료가 신선해요"""
봉게짬뽕 강남역본점,중식당,1253,2320,서울 강남구 봉은사로6길 23 지하1층1호 봉게짬뽕,4.46,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""매장이 청결해요""; ""혼밥하기 좋아요"""
초선과여포,중식당,674,783,서울 서초구 서초대로78길 44 2층 201호,4.42,"""음식이 맛있어요""; ""친절해요""; ""단체모임 하기 좋아요""; ""재료가 신선해요""; ""양이 많아요"""
무궁화반점 강남점,중식당,1650,433,서울 강남구 테헤란로1길 10 1층,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""재료가 신선해요""; ""매장이 넓어요""; ""혼밥하기 좋아요"""
남소관 우육도삭면,중식당,2949,1413,서울 강남구 테헤란로1길 19 1층 2층 남소관 우육도삭면,4.4,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""매장이 넓어요""; ""가성비가 좋아요""; ""양이 많아요"""
따롱이훠궈 강남점,중식당,974,1890,서울 서초구 서초대로73길 9 2층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""인테리어가 멋져요""; ""매장이 넓어요""; ""친절해요"""
아방궁,중식당,1236,470,서울 강남구 역삼로1길 18,4.28,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""단체모임 하기 좋아요""; ""재료가 신선해요"""
더 탕수육,중식당,319,202,서울 강남구 역삼로7길 13 1층 102호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""친절해요""; ""특별한 메뉴가 있어요"""
하우마라탕,중식당,6889,2291,서울 강남구 강남대로94길 23 2층,4.53,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""매장이 넓어요""; ""가성비가 좋아요"""
강남반점,중식당,408,77,서울 서초구 서초대로73길 50 대원빌딩 2층 강남반점,4.25,"""음식이 맛있어요""; ""매장이 넓어요""; ""가성비가 좋아요""; ""친절해요""; ""재료가 신선해요"""
카이 강남역점,중식당,1201,108,서울 강남구 테헤란로8길 21 1층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요"""
일일향 강남역3호점,중식당,1133,548,서울 서초구 서초대로78길 22 홍우빌딩,4.32,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""양이 많아요""; ""단체모임 하기 좋아요"""
무한숯불양꼬치훠궈&뷔페,양꼬치,1345,969,서울 강남구 봉은사로2길 37 지상2층 (역삼동),4.77,"""음식이 맛있어요""; ""가성비가 좋아요""; ""양이 많아요""; ""친절해요""; ""재료가 신선해요"""
훠궈나라 강남점,중식당,1314,1051,서울 강남구 봉은사로2길 35 2층,4.4,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""양이 많아요""; ""친절해요"""
일품각 역삼동점,양꼬치,554,265,서울 강남구 강남대로96길 18 B1층 일품각 역삼동점,4.36,"""음식이 맛있어요""; ""단체모임 하기 좋아요""; ""매장이 넓어요""; ""친절해요""; ""특별한 메뉴가 있어요"""
라장양갈비양꼬치 무한리필,양꼬치,511,1406,서울 강남구 봉은사로18길 90 지상3층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""양이 많아요""; ""가성비가 좋아요""; ""매장이 넓어요"""
