Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
엑스케이프 강남점,방탈출카페,120,299,서울 강남구 봉은사로2길 16 현도빌딩 지하1층,4.68,"""스토리가 탄탄해요""; ""친절해요""; ""재미있는 테마가 많아요""; ""장치가 다양해요""; ""문제가 신선해요"""
넥스트에디션 강남3호점,방탈출카페,183,847,서울 서초구 강남대로65길 7 피렌체타워 5층,4.59,"""스토리가 탄탄해요""; ""친절해요""; ""재미있는 테마가 많아요""; ""문제가 신선해요""; ""시설이 깔끔해요"""
코드케이 방탈출카페,방탈출카페,256,1833,서울 강남구 봉은사로2길 31 지하 1층 코드케이,4.6,
세븐클루스 강남1호점,방탈출카페,141,708,서울 강남구 테헤란로2길 8 동일빌딩 지하1층,4.38,
세븐클루스 강남 2호점,방탈출카페,173,1424,서울 강남구 강남대로 432 점프밀라노 7층 704호 세븐클루스,4.5,"""친절해요""; ""재미있는 테마가 많아요""; ""문제가 신선해요""; ""장치가 다양해요""; ""스토리가 탄탄해요"""
에피소드방탈출 강남점,방탈출카페,303,434,서울 강남구 강남대로98길 8 4층,N/A,
Studio ESC,방탈출카페,397,313,서울 강남구 봉은사로18길 70 지하1층,N/A,
넥스트에디션 강남5호점,방탈출카페,189,880,서울 강남구 강남대로94길 11 지하1층,4.58,
라스트 이스케이프,방탈출카페,168,229,서울 강남구 강남대로98길 20 4층,4.61,
룸즈에이 강남점,방탈출카페,54,648,서울 강남구 테헤란로4길 35 지하2층,N/A,
이스케이프랩,방탈출카페,83,264,서울 강남구 강남대로96길 18 4F 이스케이프랩,4.78,"""스토리가 탄탄해요""; ""친절해요""; ""장치가 다양해요""; ""문제가 신선해요""; ""재미있는 테마가 많아요"""
크라임씬카페 퍼즐팩토리 강남점,방탈출카페,129,376,서울 강남구 강남대로102길 13,4.43,"""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""친절해요""; ""문제가 신선해요""; ""시설이 깔끔해요"""
미스터리룸 이스케이프 강남점,방탈출카페,370,1365,서울 서초구 서초대로77길 37 월드상가 5층,3.96,"""친절해요""; ""장치가 다양해요""; ""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""문제가 신선해요"""
넥스트에디션 강남3호점,방탈출카페,183,847,서울 서초구 강남대로65길 7 피렌체타워 5층,4.59,"""스토리가 탄탄해요""; ""친절해요""; ""재미있는 테마가 많아요""; ""문제가 신선해요""; ""시설이 깔끔해요"""
제로월드 강남점,방탈출카페,342,2930,서울 서초구 서초대로73길 40 지하1층,4.76,"""스토리가 탄탄해요""; ""재미있는 테마가 많아요""; ""장치가 다양해요""; ""문제가 신선해요""; ""친절해요"""
비밀의화원 리버타운,방탈출카페,626,902,서울 강남구 강남대로96길 20 지하 1층,4.57,"""친절해요""; ""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""시설이 깔끔해요""; ""장치가 다양해요"""
겟어웨이 방탈출,방탈출카페,88,161,서울 강남구 역삼로5길 22 3층,N/A,"""스토리가 탄탄해요""; ""친절해요""; ""컨셉이 독특해요""; ""시설이 깔끔해요""; ""재미있는 테마가 많아요"""
비트포비아 강남던전,방탈출카페,59,1819,서울 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호,4.09,"""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""장치가 다양해요""; ""친절해요""; ""시설이 깔끔해요"""
비트포비아 강남던전2,방탈출카페,13,831,서울 강남구 테헤란로4길 32 우정에쉐르1 지하1층,N/A,"""재미있는 테마가 많아요""; ""장치가 다양해요""; ""친절해요""; ""스토리가 탄탄해요""; ""문제가 신선해요"""
비트포비아 던전루나,방탈출카페,72,452,서울 강남구 강남대로94길 20 삼오빌딩 B1,N/A,"""스토리가 탄탄해요""; ""장치가 다양해요""; ""시설이 깔끔해요""; ""친절해요""; ""재미있는 테마가 많아요"""
키이스케이프 우주라이크,방탈출카페,27,1065,서울 강남구 테헤란로6길 46 테라빌 지하1층,N/A,"""스토리가 탄탄해요""; ""재미있는 테마가 많아요""; ""장치가 다양해요""; ""문제가 신선해요""; ""시설이 깔끔해요"""
엑소더스 강남1호점,방탈출카페,106,459,서울 강남구 봉은사로18길 80 지하1층 엑소더스 강남1호점,4.7,"""친절해요""; ""스토리가 탄탄해요""; ""장치가 다양해요""; ""시설이 깔끔해요""; ""문제가 신선해요"""
도어이스케이프 레드 신논현점,방탈출카페,37,658,서울 서초구 사평대로 360 지하1층,4.88,"""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""장치가 다양해요""; ""문제가 신선해요""; ""친절해요"""
키이스케이프 더오름,방탈출카페,37,1189,서울 강남구 테헤란로6길 30 지하1층 키이스케이프 더오름,4.59,
키이스케이프 강남,방탈출카페,61,30,서울 강남구 강남대로96길 17 6층,4.49,
포인트나인,방탈출카페,85,1136,서울 강남구 강남대로102길 40 지하1층,4.69,
황금열쇠 타임스퀘어점,방탈출카페,70,506,서울 강남구 강남대로98길 25 스타애비뉴 1층 황금열쇠 강남타임스퀘어점,N/A,
황금열쇠 플라워로드 강남,방탈출카페,25,509,서울 강남구 봉은사로18길 76 4층,N/A,
키이스케이프 로그인,방탈출카페,20,586,서울 강남구 강남대로98길 16 파빌리온빌딩 4층,N/A,
포인트나인 강남2호점,방탈출카페,37,477,서울 강남구 봉은사로6길 34 지하1층,N/A,
파라박스 강남역점,방탈출카페,N/A,42,서울 강남구 테헤란로8길 28-4 지하층,N/A,
"방탈출, 단편선",방탈출카페,83,987,서울 강남구 봉은사로4길 36 지하1층 02호 단편선,N/A,
키이스케이프 스테이션,방탈출카페,13,237,"서울 서초구 강남대로69길 11 3층 301, 302호",N/A,
키이스케이프 로그인2,방탈출카페,20,497,서울 강남구 강남대로98길 16 5층,N/A,
크라임씬카페 퍼즐팩토리 강남2호점,방탈출카페,77,352,서울 서초구 서초대로75길 34 4층,4.57,
초상화 강남,방탈출카페,3,54,서울 강남구 강남대로96길 15 3층,N/A,
쿠쿠룸190000,방탈출카페,2,8,서울 강남구 강남대로96길 13 3층,N/A,
마스터키 강남점,방탈출카페,74,1029,서울 강남구 봉은사로6길 26 지하1층,4.76,"""재미있는 테마가 많아요""; ""친절해요""; ""스토리가 탄탄해요""; ""장치가 다양해요""; ""문제가 신선해요"""
플레이더월드 강남점,방탈출카페,2573,920,서울 서초구 사평대로56길 14 지하1층,N/A,"""친절해요""; ""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""시설이 깔끔해요""; ""문제가 신선해요"""
오프라인방탈출,방탈출카페,N/A,N/A,서울 강남구 강남대로 396,N/A,
도어이스케이프 강남가든점,방탈출카페,294,808,서울 서초구 사평대로56길 10 지하1층,N/A,"""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""문제가 신선해요""; ""친절해요""; ""시설이 깔끔해요"""
S방탈출카페,방탈출카페,N/A,1,서울 강남구 강남대로 432 점프밀라노,N/A,
Theclue,방탈출카페,2,N/A,서울 강남구 강남대로 446 5층 501호 강남웰빌딩,N/A,
라스트 이스케이프,방탈출카페,168,229,서울 강남구 강남대로98길 20 4층,4.61,"""재미있는 테마가 많아요""; ""스토리가 탄탄해요""; ""친절해요""; ""시설이 깔끔해요""; ""문제가 신선해요"""
엑스케이프 강남점,방탈출카페,120,299,서울 강남구 봉은사로2길 16 현도빌딩 지하1층,4.68,
키이스케이프 메모리컴퍼니,방탈출카페,28,1192,서울 강남구 봉은사로2길 7 지하1층,N/A,
비트포비아 던전스텔라점,방탈출카페,20,348,서울 강남구 테헤란로14길 34 EGSoulLeader B1,N/A,
이룸에이트 방탈출카페,방탈출카페,741,2027,서울 강남구 봉은사로 115 노벨테크빌딩 B2F,4.64,
도어이스케이프 레드 신논현점,방탈출카페,37,658,서울 서초구 사평대로 360 지하1층,4.88,
판타스트릭 강남2호점,방탈출카페,100,171,서울 서초구 사평대로 353 지하1층 판타스트릭,N/A,
싸인이스케이프 강남시티점,방탈출카페,77,611,서울 강남구 강남대로94길 67 도연빌딩 지하1층,N/A,
판타스트릭 방탈출 강남1점,방탈출카페,107,484,서울 서초구 강남대로79길 39 지하1층,N/A,
도어이스케이프 블루 신논현점,방탈출카페,39,408,서울 서초구 사평대로53길 8-1 지하 1층,N/A,
개꿀이스케이프,방탈출카페,48,212,서울 강남구 강남대로118길 40 3층,N/A,
마피아카페,방탈출카페,N/A,1,서울 강남구 강남대로62길 13 5층,N/A,
쿠쿠룸1089,방탈출카페,34,128,서울 강남구 봉은사로1길 27 3층 301호,N/A,
