Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
아카사카일식 강남역본점,일식당,298,437,서울 서초구 서초대로74길 23 서초타운트라팰리스 지하1층,4.61,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""특별한 날 가기 좋아요"""
우동명가기리야마본진,"우동,소바",1319,809,서울 강남구 강남대로84길 23 한라클래식 지하1층,4.42,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""친절해요""; ""양이 많아요"""
스시엔초,"초밥,롤",440,163,서울 강남구 봉은사로2길 17 2층,4.6,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""가성비가 좋아요""; ""매장이 청결해요"""
온센 강남점,일식당,1182,1084,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호,4.35,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""친절해요"""
고베규카츠 서울 강남점,돈가스,6339,6328,서울 강남구 강남대로102길 29 예촌빌딩,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요"""
호미호식 강남본점,일식당,2304,1058,서울 강남구 봉은사로4길 36 운현빌딩 1층 2호 호미호식,N/A,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
이자카야 공감 강남역점,이자카야,326,723,서울 서초구 강남대로65길 7 피렌체빌딩2층,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""술이 다양해요""; ""친절해요""; ""단체모임 하기 좋아요"""
이자카야 열,이자카야,237,2180,서울 서초구 강남대로 345 2층,4.35,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""대화하기 좋아요""; ""기본 안주가 좋아요""; ""술이 다양해요"""
청담이상 강남역점,이자카야,777,2773,"서울 강남구 테헤란로1길 42 2층, 3층",N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""단체모임 하기 좋아요""; ""오래 머무르기 좋아요""; ""친절해요"""
갓덴스시 강남점,"초밥,롤",3623,1880,서울 강남구 테헤란로 109 강남제일빌딩 1F,4.44,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""혼밥하기 좋아요"""
옥소반 강남역점,샤브샤브,308,1357,서울 서초구 서초대로78길 32 2층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""인테리어가 멋져요""; ""친절해요""; ""양이 많아요"""
감탄성신,일식당,4166,2090,서울 강남구 강남대로106길 14 지상1층,4.55,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""매장이 청결해요"""
카츠8 강남점,일식당,1107,745,서울 서초구 서초대로74길 11 삼성전자 서초사옥 지하1층 B105호,4.44,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""매장이 넓어요""; ""매장이 청결해요""; ""재료가 신선해요"""
유타로 강남역점,일본식라면,928,532,서울 서초구 서초대로74길 51 101호,4.4,"""음식이 맛있어요""; ""친절해요""; ""혼밥하기 좋아요""; ""특별한 메뉴가 있어요""; ""양이 많아요"""
쿄코코 신논현점,일식당,806,1301,서울 강남구 강남대로106길 23 지하1층,N/A,"""음식이 맛있어요""; ""친절해요""; ""인테리어가 멋져요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요"""
이자카야 신조,이자카야,421,212,서울 강남구 강남대로84길 33 대우 디오빌플러스 B101호,4.35,"""음식이 맛있어요""; ""술이 다양해요""; ""가성비가 좋아요""; ""대화하기 좋아요""; ""친절해요"""
샤브쌈주머니 서울강남점,샤브샤브,3662,811,서울 강남구 테헤란로5길 11,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""매장이 넓어요"""
샤브지오,샤브샤브,70,16,서울 서초구 서초대로77길 3 아라타워 214-1호~219-1호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""매장이 넓어요""; ""친절해요""; ""양이 많아요"""
스시이안앤 강남역점,"초밥,롤",417,2130,서울 강남구 테헤란로1길 25 2층,N/A,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요""; ""혼밥하기 좋아요"""
은행골 강남역점,"초밥,롤",10987,3078,서울 서초구 서초대로75길 34 3층 은행골,4.48,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""매장이 넓어요""; ""매장이 청결해요"""
샤브쌈주머니 서울강남점,샤브샤브,3662,811,서울 강남구 테헤란로5길 11,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""매장이 넓어요"""
