Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
미도인 강남,양식,4599,4157,서울 강남구 강남대로102길 16 지상 2층,4.4,"""음식이 맛있어요""; ""친절해요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
을지다락 강남,양식,3534,3945,서울 강남구 강남대로96길 22 2층,4.53,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""매장이 청결해요"""
남도애찬 강남본점,"육류,고기요리",613,332,서울 강남구 역삼로3길 8,4.37,"""음식이 맛있어요""; ""친절해요""; ""단체모임 하기 좋아요""; ""고기 질이 좋아요""; ""매장이 넓어요"""
고기꾼김춘배 강남점,돼지고기구이,2142,1278,"서울 강남구 강남대로100길 13 3층, 4층",4.47,"""음식이 맛있어요""; ""친절해요""; ""고기 질이 좋아요""; ""단체모임 하기 좋아요""; ""매장이 넓어요"""
온센 강남점,일식당,1183,1084,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호,4.35,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""친절해요"""
고베규카츠 서울 강남점,돈가스,6338,6329,서울 강남구 강남대로102길 29 예촌빌딩,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요"""
자매수산,생선회,502,678,서울 강남구 봉은사로18길 90,4.29,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""단체모임 하기 좋아요""; ""특별한 메뉴가 있어요"""
춘천한옥집,한식,1874,1049,서울 강남구 강남대로102길 29 지하1층,4.36,"""음식이 맛있어요""; ""매장이 넓어요""; ""양이 많아요""; ""친절해요""; ""재료가 신선해요"""
호앙비엣 moc 강남역점,베트남음식,48,63,"서울 강남구 강남대로102길 31 지상1층 1호, 2호",N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""현지 맛에 가까워요""; ""재료가 신선해요""; ""양이 많아요"""
어거스트 힐 강남점,양식,6543,4881,서울 강남구 강남대로106길 25,4.56,"""음식이 맛있어요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 날 가기 좋아요"""
던킨 라이브 강남,도넛,8700,1293,서울 서초구 강남대로 373 홍우빌딩 1층,4.46,"""디저트가 맛있어요""; ""커피가 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""매장이 청결해요"""
다몽집 신논현본점,"육류,고기요리",1544,3064,서울 강남구 강남대로100길 13 지하1층/2층 다몽집,4.68,
이자카야 공감 강남역점,이자카야,326,723,서울 서초구 강남대로65길 7 피렌체빌딩2층,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""술이 다양해요""; ""친절해요""; ""단체모임 하기 좋아요"""
베트남이랑,베트남음식,2262,1781,서울 서초구 서초대로77길 15 대경빌딩 지하 1층,4.44,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""가성비가 좋아요""; ""양이 많아요""; ""매장이 넓어요"""
하이디라오 서초지점,중식당,5070,3017,서울 서초구 서초대로77길 54 2층 하이디라오 훠궈,4.63,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""매장이 넓어요""; ""특별한 메뉴가 있어요"""
플랫나인,바(BAR),1833,995,서울 서초구 강남대로65길 10 5층,4.79,"""음악이 좋아요""; ""음식이 맛있어요""; ""술이 다양해요""; ""인테리어가 멋져요""; ""친절해요"""
땀땀,베트남음식,7106,7024,서울 강남구 강남대로98길 12-5,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요"""
딘타이펑 강남점,중식당,4655,2153,서울 서초구 서초대로73길 12 세계빌딩,4.45,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""매장이 청결해요"""
이자카야 열,이자카야,237,2180,서울 서초구 강남대로 345 2층,4.35,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""대화하기 좋아요""; ""기본 안주가 좋아요""; ""술이 다양해요"""
청담이상 강남역점,이자카야,777,2774,"서울 강남구 테헤란로1길 42 2층, 3층",N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""단체모임 하기 좋아요""; ""오래 머무르기 좋아요""; ""친절해요"""
전설의우대갈비 강남직영점,"육류,고기요리",1943,978,서울 강남구 강남대로94길 10 3층 1호,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
두르가 강남점,인도음식,198,132,서울 강남구 강남대로94길 21 지상1층,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""현지 맛에 가까워요""; ""친절해요""; ""매장이 넓어요"""
육품,돼지고기구이,274,560,서울 서초구 강남대로65길 12 2층 육품,4.42,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""양이 많아요""; ""매장이 넓어요"""
호랑가시,"카페,디저트",1640,390,서울 강남구 봉은사로6길 32 지하1층-3층,N/A,"""디저트가 맛있어요""; ""커피가 맛있어요""; ""인테리어가 멋져요""; ""음료가 맛있어요""; ""대화하기 좋아요"""
알베르,카페,2992,3198,서울 강남구 강남대로102길 34,4.38,"""커피가 맛있어요""; ""인테리어가 멋져요""; ""대화하기 좋아요""; ""디저트가 맛있어요""; ""뷰가 좋아요"""
농민백암순대,"순대,순댓국",2820,1682,서울 강남구 역삼로3길 20-4,4.51,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""가성비가 좋아요""; ""혼밥하기 좋아요"""
7번방 강남점,요리주점,2113,4068,서울 서초구 서초대로77길 43 경원빌딩,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""술이 다양해요""; ""대화하기 좋아요""; ""기본 안주가 좋아요"""
82올리언즈 강남점,양식,1377,3130,서울 강남구 강남대로98길 28 1층,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 청결해요""; ""매장이 넓어요"""
까사생갈비,"육류,고기요리",3991,1493,서울 강남구 봉은사로2길 23 . 2층 까사생갈비,4.76,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""인테리어가 멋져요""; ""매장이 넓어요"""
가가솥밥 강남점,한식,986,473,서울 강남구 역삼로5길 19 1층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""매장이 청결해요"""
떡도리탕 강남본점,닭볶음탕,2405,3842,서울 강남구 테헤란로1길 28-9 1층,4.47,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""매장이 넓어요"""
로리스 더 프라임 립,"스테이크,립",3616,1402,서울 서초구 서초대로 411 GT TOWER 3층,4.48,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 날 가기 좋아요""; ""매장이 넓어요"""
장인닭갈비 강남점,닭갈비,12986,8828,서울 강남구 테헤란로1길 19,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""매장이 넓어요""; ""친절해요""; ""고기 질이 좋아요"""
고깃집열,"육류,고기요리",376,2432,서울 서초구 서초대로78길 48 2층,4.36,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""양이 많아요"""
