Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
남도애찬 강남본점,"육류,고기요리",613,332,서울 강남구 역삼로3길 8,4.37,
고기꾼김춘배 강남점,돼지고기구이,2142,1278,"서울 강남구 강남대로100길 13 3층, 4층",4.47,
자매수산,생선회,502,678,서울 강남구 봉은사로18길 90,4.29,
춘천한옥집,한식,1875,1049,서울 강남구 강남대로102길 29 지하1층,4.36,
다몽집 신논현본점,"육류,고기요리",1545,3064,서울 강남구 강남대로100길 13 지하1층/2층 다몽집,4.68,
육품,돼지고기구이,274,560,서울 서초구 강남대로65길 12 2층 육품,4.42,
농민백암순대,"순대,순댓국",2820,1682,서울 강남구 역삼로3길 20-4,4.51,
가가솥밥 강남점,한식,986,473,서울 강남구 역삼로5길 19 1층,N/A,
까사생갈비,"육류,고기요리",3994,1494,서울 강남구 봉은사로2길 23 . 2층 까사생갈비,4.76,
떡도리탕 강남본점,닭볶음탕,2405,3842,서울 강남구 테헤란로1길 28-9 1층,4.47,
장인닭갈비 강남점,닭갈비,12991,8828,서울 강남구 테헤란로1길 19,N/A,
고깃집열,"육류,고기요리",376,2432,서울 서초구 서초대로78길 48 2층,4.36,
땅코참숯구이 강남역직영점,돼지고기구이,39,16,서울 강남구 강남대로78길 25 지상1층,N/A,
알부자,"해물,생선요리",6716,2114,서울 강남구 강남대로98길 14 1층 알부자,4.39,
빨간의자집 강남역점,"육류,고기요리",1010,726,서울 강남구 테헤란로1길 28-13 1층 빨간의자집 강남역점,N/A,
일편등심 강남점,소고기구이,814,1835,서울 강남구 테헤란로1길 20 지하1층 일편등심 강남점,4.86,
주신당 강남,한식,449,89,서울 강남구 강남대로96길 9 B1,N/A,
강남진해장,한식,2273,1293,서울 강남구 테헤란로5길 11,4.35,
강남 곱,"곱창,막창,양",3570,2359,서울 강남구 역삼로3길 12,4.41,
봉우이층집,돼지고기구이,1388,2943,서울 강남구 봉은사로18길 76 스타 팰리스,4.58,
천상애장어가 논현점,"장어,먹장어요리",129,89,서울 강남구 강남대로112길 17 1층,4.58,
다온정,한정식,1000,787,서울 강남구 테헤란로14길 16 라인빌딩,4.42,
무월식탁,한식,1945,2125,서울 강남구 강남대로102길 23,4.29,
육미안 강남점,소고기구이,726,1996,서울 강남구 강남대로106길 9 1층,N/A,
대진도원참치 강남역점,생선회,1181,4109,서울 강남구 테헤란로 113 목화밀라트 지하1층 제비101호,N/A,
쭈꾸미랩소디 강남점,주꾸미요리,1129,1331,서울 강남구 강남대로98길 12-3 1층 쭈꾸미랩소디,N/A,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""매장이 넓어요""; ""가성비가 좋아요"""
유니네 고깃간 강남역점,"육류,고기요리",1444,3102,서울 강남구 강남대로98길 12 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""직접 잘 구워줘요""; ""친절해요""; ""특별한 메뉴가 있어요"""
화기애애,"육류,고기요리",1344,1347,서울 강남구 강남대로106길 12 화기애애,4.64,"""음식이 맛있어요""; ""가성비가 좋아요""; ""고기 질이 좋아요""; ""친절해요""; ""단체모임 하기 좋아요"""
두껍삼 역삼직영점,돼지고기구이,2392,830,서울 강남구 테헤란로8길 17,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""매장이 넓어요""; ""단체모임 하기 좋아요""; ""친절해요"""
화설 강남역점,소고기구이,1041,1600,서울 서초구 서초대로73길 38 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""인테리어가 멋져요""; ""매장이 넓어요""; ""친절해요"""
노랑저고리,한정식,2638,804,서울 서초구 서초대로73길 9 타임빌딩 5층,4.35,"""음식이 맛있어요""; ""단체모임 하기 좋아요""; ""매장이 넓어요""; ""친절해요""; ""가성비가 좋아요"""
꽃낙지 강남역삼직영점,낙지요리,481,372,서울 강남구 테헤란로4길 6 제1층 113호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""친절해요""; ""매장이 청결해요"""
진구곱창,"곱창,막창,양",1450,1752,서울 서초구 서초대로75길 37 1층 진구곱창,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""가성비가 좋아요""; ""친절해요""; ""고기 질이 좋아요"""
60년전통신촌황소곱창 강남역직영점,"곱창,막창,양",3605,1549,서울 강남구 강남대로100길 13,4.6,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""양이 많아요""; ""친절해요""; ""매장이 넓어요"""
청기와타운 강남점,"육류,고기요리",1314,2690,서울 강남구 강남대로78길 8 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""매장이 넓어요""; ""단체모임 하기 좋아요"""
강남교자 본점,"칼국수,만두",1711,832,서울 서초구 강남대로69길 11 삼미빌딩,4.37,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""매장이 넓어요""; ""혼밥하기 좋아요"""
창고43 강남점,소고기구이,3003,974,서울 강남구 강남대로 362 대륭강남타워 지하1층,4.45,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""단체모임 하기 좋아요""; ""매장이 청결해요"""
도툼횟집,생선회,432,211,서울 강남구 강남대로84길 15 지하1층 105~108호,4.43,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""양이 많아요""; ""매장이 넓어요"""
뽕족 강남역본점,"족발,보쌈",654,486,서울 강남구 테헤란로4길 15 메가시티오피스텔 1층,4.53,"""음식이 맛있어요""; ""단체모임 하기 좋아요""; ""친절해요""; ""매장이 넓어요""; ""고기 질이 좋아요"""
두껍삼 강남직영점,돼지고기구이,2110,1089,서울 서초구 서초대로78길 44,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""단체모임 하기 좋아요""; ""매장이 넓어요""; ""직접 잘 구워줘요"""
시골야채된장,"찌개,전골",1125,659,서울 서초구 강남대로69길 11 삼미빌딩 1층,4.3,"""음식이 맛있어요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""양이 많아요""; ""친절해요"""
봉우화로,"육류,고기요리",1810,3524,서울 강남구 봉은사로18길 76 스타 팰리스,4.4,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""매장이 넓어요""; ""친절해요""; ""가성비가 좋아요"""
무제오,한식,173,222,서울 서초구 강남대로47길 20 지하 1층 무제오,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요""; ""친절해요"""
육랩 강남본점,"육류,고기요리",802,354,서울 강남구 테헤란로1길 28-6 2층 육랩,4.99,"""음식이 맛있어요""; ""친절해요""; ""고기 질이 좋아요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
진대감 강남역 삼성타운점,소고기구이,1170,2956,서울 서초구 서초대로78길 50 우영빌딩,4.39,"""음식이 맛있어요""; ""친절해요""; ""매장이 넓어요""; ""특별한 메뉴가 있어요""; ""고기 질이 좋아요"""
조양관한정식,한정식,820,2266,서울 서초구 서초대로74길 29 지하1층 조양관 한정식,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""차분한 분위기에요""; ""단체모임 하기 좋아요"""
이춘복참치&스시 강남점,생선회,2352,724,서울 서초구 강남대로61길 13,4.28,"""음식이 맛있어요""; ""매장이 넓어요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""양이 많아요"""
강남 돼지상회 무한리필,돼지고기구이,2975,867,서울 강남구 강남대로98길 11 2층 메트로 빌딩 2층,4.63,"""음식이 맛있어요""; ""가성비가 좋아요""; ""양이 많아요""; ""매장이 넓어요""; ""친절해요"""
60년전통 신촌황소곱창 논현직영점,"곱창,막창,양",984,1278,서울 강남구 봉은사로1길 37 지상1층,4.43,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""양이 많아요""; ""특별한 메뉴가 있어요"""
반갑다 하대포,"육류,고기요리",888,589,서울 강남구 역삼로3길 7 1층,4.51,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""단체모임 하기 좋아요""; ""직접 잘 구워줘요"""
김명자굴국밥,굴요리,732,209,서울 서초구 서초대로78길 30,4.28,"""음식이 맛있어요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""가성비가 좋아요""; ""친절해요"""
두배고기 강남역본점,"육류,고기요리",503,142,서울 강남구 테헤란로6길 42 1층,4.56,"""음식이 맛있어요""; ""친절해요""; ""고기 질이 좋아요""; ""가성비가 좋아요""; ""재료가 신선해요"""
곱창고 강남역점,"곱창,막창,양",1228,2646,서울 강남구 강남대로96길 11,4.55,"""음식이 맛있어요""; ""친절해요""; ""고기 질이 좋아요""; ""매장이 넓어요""; ""가성비가 좋아요"""
군선생 강남점,생선구이,656,218,서울 서초구 강남대로55길 24 풍림아이원매직 지하1층,4.42,
소호정 강남점,국수,1472,336,서울 서초구 서초대로78길 22,4.39,"""음식이 맛있어요""; ""매장이 넓어요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요""; ""친절해요"""
청간막국수,막국수,307,377,서울 서초구 서초대로78길 22 홍우빌딩 2층,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""친절해요"""
보승회관 강남역직영점,국밥,2319,482,서울 강남구 테헤란로1길 17 101호,4.2,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""친절해요""; ""매장이 넓어요""; ""양이 많아요"""
주나수산,생선회,215,203,서울 서초구 서초대로77길 45 1층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""매장이 넓어요""; ""친절해요""; ""인테리어가 멋져요"""
정통집 강남점,돼지고기구이,475,568,서울 강남구 강남대로96길 13 2층,4.26,"""음식이 맛있어요""; ""가성비가 좋아요""; ""양이 많아요""; ""친절해요""; ""재료가 신선해요"""
우탭 강남점,소고기구이,578,266,서울 서초구 서초대로78길 22 홍우빌딩 B1,4.49,"""음식이 맛있어요""; ""친절해요""; ""단체모임 하기 좋아요""; ""매장이 청결해요""; ""고기 질이 좋아요"""
