Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
ZARA 강남역점,종합패션,11840,994,서울 서초구 강남대로 447 남서울 빌딩 B1-4F,4.44,"""종류가 다양해요""; ""매장이 넓어요""; ""품질이 좋아요""; ""가성비가 좋아요""; ""독특한 디자인이 많아요"""
뉴발란스 강남점,신발,1316,260,서울 강남구 강남대로 412 규정빌딩 1층 뉴발란스,4.53,"""친절해요""; ""품질이 좋아요""; ""매장이 넓어요""; ""종류가 다양해요""; ""분위기가 편안해요"""
포터 서울 강남점,"가방,핸드백",185,135,서울 강남구 강남대로 442 1층,4.6,"""품질이 좋아요""; ""친절해요""; ""종류가 다양해요""; ""독특한 디자인이 많아요""; ""분위기가 편안해요"""
ABC마트 GS 강남본점,신발,2352,179,서울 강남구 강남대로 430,4.41,"""종류가 다양해요""; ""친절해요""; ""품질이 좋아요""; ""매장이 넓어요""; ""가성비가 좋아요"""
스파오 강남점,캐주얼웨어,6558,199,서울 강남구 강남대로 432 e스퀘어 2-3층,4.44,"""가성비가 좋아요""; ""종류가 다양해요""; ""매장이 넓어요""; ""품질이 좋아요""; ""친절해요"""
미쏘 강남점,캐주얼웨어,6490,200,서울 강남구 강남대로 432 1층 미쏘,4.48,"""종류가 다양해요""; ""가성비가 좋아요""; ""매장이 넓어요""; ""품질이 좋아요""; ""친절해요"""
반니 비스포크 강남점,남성정장,167,309,서울 강남구 테헤란로4길 45,4.89,"""친절해요""; ""맞춤 제작을 잘해요""; ""품질이 좋아요""; ""스타일 추천을 잘해줘요""; ""분위기가 편안해요"""
클로 스튜디오 강남점,여성의류,423,70,서울 강남구 강남대로 412 지하1층,N/A,"""종류가 다양해요""; ""품질이 좋아요""; ""가성비가 좋아요""; ""친절해요""; ""독특한 디자인이 많아요"""
에잇세컨즈 강남대로점,캐주얼웨어,1048,140,서울 강남구 강남대로 422 1층 에잇세컨즈,N/A,"""종류가 다양해요""; ""가성비가 좋아요""; ""품질이 좋아요""; ""매장이 넓어요""; ""친절해요"""
슈펜 강남점프밀라노점,신발,1394,107,서울 강남구 강남대로 432 점프밀라노 B1,4.41,"""가성비가 좋아요""; ""종류가 다양해요""; ""매장이 넓어요""; ""품질이 좋아요""; ""친절해요"""
지오다노 강남점,캐주얼웨어,5035,186,서울 서초구 강남대로65길 1 효봉빌딩,4.38,"""품질이 좋아요""; ""가성비가 좋아요""; ""종류가 다양해요""; ""친절해요""; ""매장이 넓어요"""
코디의시작 강남역,양말,30,32,서울 강남구 테헤란로 101 강남역지하도상가 D-16호,N/A,"""품질이 좋아요""; ""가성비가 좋아요""; ""친절해요""; ""종류가 다양해요""; ""매장이 넓어요"""
토마토 강남,보세의류,3998,10,서울 서초구 강남대로 405,4.37,"""가성비가 좋아요""; ""종류가 다양해요""; ""매장이 넓어요""; ""품질이 좋아요""; ""독특한 디자인이 많아요"""
미니스피어싱 강남점,패션잡화,713,11,서울 강남구 강남대로 396 강남역지하상가 E-21,N/A,"""친절해요""; ""종류가 다양해요""; ""분위기가 편안해요""; ""가성비가 좋아요""; ""스타일 추천을 잘해줘요"""
폴더 강남e스퀘어점,신발,510,18,서울 강남구 강남대로 432 지하1층,4.49,"""친절해요""; ""품질이 좋아요""; ""종류가 다양해요""; ""매장이 넓어요""; ""가성비가 좋아요"""
로엠 강남점,캐주얼웨어,823,28,서울 강남구 강남대로 432 점프밀라노 e스퀘어 4층 로엠,4.6,"""친절해요""; ""품질이 좋아요""; ""종류가 다양해요""; ""가성비가 좋아요""; ""매장이 넓어요"""
룩서스,종합패션,N/A,79,서울 강남구 테헤란로 109 강남제일빌딩 301-5호,N/A,
에메필 강남1호점,속옷,378,5,서울 강남구 테헤란로 101 강남역신분당선지하상가 내,4.46,"""친절해요""; ""품질이 좋아요""; ""종류가 다양해요""; ""가성비가 좋아요""; ""독특한 디자인이 많아요"""
브랜드마켓,보세의류,154,1,서울 강남구 강남대로 410 지하1층,N/A,"""가성비가 좋아요""; ""종류가 다양해요""; ""품질이 좋아요""; ""친절해요""; ""독특한 디자인이 많아요"""
원더브라 강남역점,속옷,212,3,서울 강남구 강남대로 396 B-5호,4.39,"""친절해요""; ""품질이 좋아요""; ""종류가 다양해요""; ""가성비가 좋아요""; ""스타일 추천을 잘해줘요"""
문피어싱,패션잡화,55,7,서울 강남구 강남대로 396 지하쇼핑센터 E-28호,N/A,"""종류가 다양해요""; ""친절해요""; ""독특한 디자인이 많아요""; ""가성비가 좋아요""; ""품질이 좋아요"""
후아유 강남점,캐주얼웨어,543,7,서울 강남구 강남대로 432 이스퀘어 강남점 4층,4.36,"""품질이 좋아요""; ""종류가 다양해요""; ""친절해요""; ""가성비가 좋아요""; ""분위기가 편안해요"""
착한구두 강남점,신발,25,N/A,서울 강남구 강남대로 408 지하1층,N/A,"""가성비가 좋아요""; ""품질이 좋아요""; ""매장이 넓어요""; ""종류가 다양해요""; ""친절해요"""
포시즌 강남점,보세의류,36,N/A,서울 서초구 강남대로 435 B1층,N/A,"""가성비가 좋아요""; ""품질이 좋아요""; ""종류가 다양해요""; ""매장이 넓어요""; ""독특한 디자인이 많아요"""
