Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
물감아트클래스 강남,공방,169,827,서울 서초구 강남대로61길 19 대우벨라채 508호,4.94,"""초보자에게도 적합해요""; ""맞춤 수업을 잘해줘요""; ""친절해요""; ""원데이 클래스가 알차요""; ""수업 시간이 충분해요"""
반지공방 8그램,공방,2999,635,서울 강남구 봉은사로2길 37 혜인빌딩 5층 반지공방 8그램,4.75,"""친절해요""; ""초보자에게도 적합해요""; ""맞춤 수업을 잘해줘요""; ""수업 시간이 충분해요""; ""디자인이 멋져요"""
강남향수공방 닷노트,공방,6558,1121,서울 강남구 봉은사로4길 36 지층,N/A,"""시설이 깔끔해요""; ""원데이 클래스가 알차요""; ""초보자에게도 적합해요""; ""수업 시간이 충분해요""; ""친절해요"""
반지대학 강남캠퍼스,공방,184,603,서울 강남구 테헤란로1길 32 연성흠근생 4층 1호,4.76,
세모네모동그라미,공방,470,63,서울 강남구 강남대로106길 14 오성빌딩 3층,N/A,"""초보자에게도 적합해요""; ""친절해요""; ""맞춤 수업을 잘해줘요""; ""수업 시간이 충분해요""; ""디자인이 멋져요"""
성인취미미술아트아뜰리에 강남본점,공방,118,815,서울 강남구 봉은사로4길 36 4층 402호,4.58,"""초보자에게도 적합해요""; ""맞춤 수업을 잘해줘요""; ""친절해요""; ""설명이 자세해요""; ""수업 시간이 충분해요"""
퍼퓸플레이 강남,공방,1068,166,서울 강남구 테헤란로 101 지하2층,N/A,"""친절해요""; ""설명이 자세해요""; ""수업 시간이 충분해요""; ""시설이 깔끔해요""; ""추천을 잘해줘요"""
아띠랑센트,공방,84,120,서울 서초구 강남대로 359 도씨에빛2 7층,4.88,"""친절해요""; ""초보자에게도 적합해요""; ""수업 시간이 충분해요""; ""맞춤 수업을 잘해줘요""; ""원데이 클래스가 알차요"""
도자당스튜디오,공방,130,23,서울 강남구 봉은사로18길 88 301호,N/A,"""친절해요""; ""초보자에게도 적합해요""; ""프라이빗해요""; ""맞춤 수업을 잘해줘요""; ""원데이 클래스가 알차요"""
레미니스 퍼퓸,공방,551,150,서울 서초구 서초대로77길 3 아라타워 8층,4.97,
아트마스 스튜디오,공방,75,63,서울 서초구 강남대로 381 두산베어스텔 606호,4.98,
스무드 공방,공방,188,86,서울 서초구 서초대로78길 42 현대기림오피스텔 1502호 스무드 강남점,4.86,
이백그램 강남 취미미술 화실,공방,N/A,43,서울 서초구 서초대로73길 40 1003호,N/A,
파니케이크,공방,6,3,서울 강남구 테헤란로4길 6,N/A,
아뜰리에 투힐즈 포슬린페인팅,공방,N/A,1,서울 강남구 강남대로84길 33 1417호,N/A,
프랑꼬아트랩,공방,468,348,서울 강남구 강남대로110길 38 1층,N/A,"""친절해요""; ""초보자에게도 적합해요""; ""시설이 깔끔해요""; ""맞춤 수업을 잘해줘요""; ""설명이 자세해요"""
이향공방,공방,N/A,5,서울 강남구 강남대로84길 33 1117호,N/A,
97studio,"이벤트,파티",6,153,"서울 강남구 테헤란로 113 , 1010호",N/A,
계절의 온기,공방,N/A,N/A,서울 서초구 서초대로77길 39 9층 103호,N/A,
미니스쿨,공방,3,12,서울 서초구 서초대로78길 42,N/A,
아벨라,공방,99,30,서울 강남구 논현로67길 58 303호 아벨라 아뜰리에,N/A,"""친절해요""; ""초보자에게도 적합해요""; ""수업 시간이 충분해요""; ""선물하기 좋아요""; ""맞춤 수업을 잘해줘요"""
퍼퓸플레이 강남,공방,1068,166,서울 강남구 테헤란로 101 지하2층,N/A,"""친절해요""; ""설명이 자세해요""; ""수업 시간이 충분해요""; ""시설이 깔끔해요""; ""추천을 잘해줘요"""
베러댄플라워,공방,N/A,N/A,서울 서초구 서초대로77길 45 8층810호,N/A,
펀일러스튜디오,공방,N/A,N/A,서울 강남구 테헤란로 113 목화밀라트,N/A,
아로모스,공방,1,N/A,서울 서초구 강남대로 365 도씨에빛 1차,N/A,
라피에르,공방,1,5,서울 강남구 봉은사로18길 85-13 Lapierre,N/A,
토토씨,공방,2,55,서울 서초구 서초대로 389 진흥상가 2층 212호,N/A,
슈리트리 캔들공방,공방,11,4,서울 서초구 서운로 62,N/A,
마음아카이브,공방,8,10,서울 서초구 사임당로 158 래미안리더스원상가 206호,N/A,
소잉아뜰리,공방,N/A,4,서울 서초구 효령로77길 34 아크로텔강남역 3층 301호,N/A,
리제캘리그라피,공방,N/A,N/A,서울 강남구 강남대로 328 7층,N/A,
바이율,공방,3,5,서울 서초구 강남대로 465 교보문고 지하2층 핫트랙스,N/A,
공방101,공방,N/A,4,서울 서초구 서운로 226 서초 오피스텔,N/A,
실버루나스튜디오 부케말리기,공방,54,210,서울 강남구 봉은사로 131 페인트잉크회관 406호,N/A,
에끌로아트,공방,N/A,19,서울 서초구 강남대로51길 10 강남효성해링턴타워 2층 204호,N/A,
아벨라,공방,99,30,서울 강남구 논현로67길 58 303호 아벨라 아뜰리에,N/A,
가죽공방 디에스텔,공방,N/A,637,서울 강남구 강남대로94길 71-4 지하1층,N/A,
theSOOdesign,도자기,N/A,63,서울 서초구 효령로77길 20 203호,N/A,
