Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
어거스트 힐 강남점,양식,6543,4881,서울 강남구 강남대로106길 25,4.56,"""음식이 맛있어요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 날 가기 좋아요"""
후추포인트,양식,1811,4022,서울 강남구 봉은사로6길 30 1층,N/A,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 청결해요"""
82올리언즈 강남점,양식,1380,3130,서울 강남구 강남대로98길 28 1층,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 청결해요""; ""매장이 넓어요"""
나폴리회관 강남역점,이탈리아음식,3451,6703,서울 강남구 테헤란로5길 24 1층 나폴리회관,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""재료가 신선해요""; ""친절해요""; ""인테리어가 멋져요"""
을지다락 강남,양식,3539,3945,서울 강남구 강남대로96길 22 2층,4.53,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""매장이 청결해요"""
더미뇽 서울,양식,168,182,서울 강남구 강남대로102길 25,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""재료가 신선해요""; ""친절해요""; ""매장이 넓어요"""
녘,양식,1939,1402,서울 강남구 봉은사로4길 32 2층,4.73,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""인테리어가 멋져요""; ""특별한 날 가기 좋아요"""
바비레드 강남본점,이탈리아음식,4982,6211,서울 강남구 봉은사로6길 39 바비레드,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요""; ""양이 많아요"""
강남친구네 강남역점,요리주점,411,698,서울 강남구 테헤란로1길 28-4 3층,N/A,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""인테리어가 멋져요""; ""양이 많아요""; ""재료가 신선해요"""
마초쉐프 강남본점,이탈리아음식,7114,6752,서울 강남구 강남대로106길 29 1층,4.7,"""음식이 맛있어요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 청결해요"""
강남역파스타,"스파게티,파스타전문",1600,338,서울 서초구 서초대로73길 24,4.59,"""음식이 맛있어요""; ""매장이 넓어요""; ""가성비가 좋아요""; ""양이 많아요""; ""혼밥하기 좋아요"""
마녀주방 강남점,이탈리아음식,2302,2726,서울 강남구 강남대로94길 9 지하 1층,4.45,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""가성비가 좋아요"""
이식일사,양식,634,405,서울 강남구 봉은사로4길 17 지하 1층,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""인테리어가 멋져요"""
더몰트하우스 강남역점,이탈리아음식,595,165,"서울 서초구 서초대로73길 9 1층, 2층",N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""매장이 넓어요""; ""친절해요""; ""재료가 신선해요"""
미도인 강남,양식,4599,4157,서울 강남구 강남대로102길 16 지상 2층,4.4,"""음식이 맛있어요""; ""친절해요""; ""매장이 넓어요""; ""인테리어가 멋져요""; ""매장이 청결해요"""
치스타리에 강남역점,양식,697,1447,서울 강남구 강남대로106길 9 지하1층 치스타,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""특별한 메뉴가 있어요""; ""양이 많아요""; ""친절해요"""
멜로우가든 강남점,양식,1125,1292,서울 강남구 강남대로110길 15 1층 102호,4.76,"""음식이 맛있어요""; ""친절해요""; ""인테리어가 멋져요""; ""재료가 신선해요""; ""매장이 청결해요"""
로리스 더 프라임 립,"스테이크,립",3616,1401,서울 서초구 서초대로 411 GT TOWER 3층,4.48,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""친절해요""; ""특별한 날 가기 좋아요""; ""매장이 넓어요"""
